Time (s),T1 (°C),T2 (°C),Heater Input (V),Fan Input (V),Vane Input (V)
0.0,22.119,22.9,0.0,0.0,0.0
0.1,22.168,22.949,10.0,0.0,0.0
0.2,22.168,22.949,10.0,0.0,0.0
0.3,22.168,22.949,10.0,0.0,0.0
0.4,22.168,22.949,10.0,0.0,0.0
0.5,22.168,22.949,10.0,0.0,0.0
0.6,22.217,22.949,10.0,0.0,0.0
0.7,22.168,22.9,10.0,0.0,0.0
0.8,22.119,22.9,10.0,0.0,0.0
0.9,22.168,22.9,10.0,0.0,0.0
1.0,22.168,22.949,10.0,0.0,0.0
1.1,22.119,22.9,10.0,0.0,0.0
1.2,22.168,22.949,10.0,0.0,0.0
1.3,22.168,22.9,10.0,0.0,0.0
1.4,22.168,22.949,10.0,0.0,0.0
1.5,22.168,22.9,10.0,0.0,0.0
1.6,22.168,22.9,10.0,0.0,0.0
1.7,22.168,22.9,10.0,0.0,0.0
1.8,22.119,22.9,10.0,0.0,0.0
1.9,22.168,22.9,10.0,0.0,0.0
2.0,22.168,22.9,10.0,0.0,0.0
2.1,22.168,22.9,10.0,0.0,0.0
2.2,22.168,22.949,10.0,0.0,0.0
2.3,22.168,22.9,10.0,0.0,0.0
2.4,22.168,22.949,10.0,0.0,0.0
2.5,22.168,22.9,10.0,0.0,0.0
2.6,22.168,22.9,10.0,0.0,0.0
2.7,22.168,22.9,10.0,0.0,0.0
2.8,22.217,22.9,10.0,0.0,0.0
2.9,22.217,22.9,10.0,0.0,0.0
3.0,22.217,22.949,10.0,0.0,0.0
3.1,22.217,22.9,10.0,0.0,0.0
3.2,22.217,22.9,10.0,0.0,0.0
3.3,22.217,22.949,10.0,0.0,0.0
3.4,22.217,22.949,10.0,0.0,0.0
3.5,22.266,22.949,10.0,0.0,0.0
3.6,22.217,22.9,10.0,0.0,0.0
3.7,22.266,22.9,10.0,0.0,0.0
3.8,22.266,22.9,10.0,0.0,0.0
3.9,22.266,22.9,10.0,0.0,0.0
4.0,22.314,22.9,10.0,0.0,0.0
4.1,22.314,22.9,10.0,0.0,0.0
4.2,22.314,22.9,10.0,0.0,0.0
4.3,22.363,22.949,10.0,0.0,0.0
4.4,22.363,22.949,10.0,0.0,0.0
4.5,22.363,22.9,10.0,0.0,0.0
4.6,22.412,22.9,10.0,0.0,0.0
4.7,22.412,22.9,10.0,0.0,0.0
4.8,22.412,22.9,10.0,0.0,0.0
4.9,22.461,22.949,10.0,0.0,0.0
5.0,22.461,22.9,10.0,0.0,0.0
5.1,22.51,22.9,10.0,0.0,0.0
5.2,22.51,22.9,10.0,0.0,0.0
5.3,22.51,22.9,10.0,0.0,0.0
5.4,22.559,22.9,10.0,0.0,0.0
5.5,22.607,22.949,10.0,0.0,0.0
5.6,22.607,22.9,10.0,0.0,0.0
5.7,22.656,22.949,10.0,0.0,0.0
5.8,22.656,22.9,10.0,0.0,0.0
5.9,22.656,22.9,10.0,0.0,0.0
6.0,22.705,22.949,10.0,0.0,0.0
6.1,22.754,22.949,10.0,0.0,0.0
6.2,22.803,22.949,10.0,0.0,0.0
6.3,22.803,22.949,10.0,0.0,0.0
6.4,22.803,22.9,10.0,0.0,0.0
6.5,22.852,22.9,10.0,0.0,0.0
6.6,22.9,22.9,10.0,0.0,0.0
6.7,22.9,22.9,10.0,0.0,0.0
6.8,22.949,22.949,10.0,0.0,0.0
6.9,22.949,22.9,10.0,0.0,0.0
7.0,23.047,22.949,10.0,0.0,0.0
7.1,23.096,22.949,10.0,0.0,0.0
7.2,23.096,22.949,10.0,0.0,0.0
7.3,23.145,22.949,10.0,0.0,0.0
7.4,23.193,22.949,10.0,0.0,0.0
7.5,23.193,22.949,10.0,0.0,0.0
7.6,23.242,22.9,10.0,0.0,0.0
7.7,23.291,22.949,10.0,0.0,0.0
7.8,23.34,22.949,10.0,0.0,0.0
7.9,23.34,22.949,10.0,0.0,0.0
8.0,23.389,22.949,10.0,0.0,0.0
8.1,23.438,22.949,10.0,0.0,0.0
8.2,23.486,22.949,10.0,0.0,0.0
8.3,23.535,22.949,10.0,0.0,0.0
8.4,23.633,22.998,10.0,0.0,0.0
8.5,23.633,22.949,10.0,0.0,0.0
8.6,23.682,22.949,10.0,0.0,0.0
8.7,23.73,22.949,10.0,0.0,0.0
8.8,23.779,22.949,10.0,0.0,0.0
8.9,23.828,22.949,10.0,0.0,0.0
9.0,23.877,22.949,10.0,0.0,0.0
9.1,23.926,22.949,10.0,0.0,0.0
9.2,23.975,22.998,10.0,0.0,0.0
9.3,23.975,22.949,10.0,0.0,0.0
9.4,24.072,22.949,10.0,0.0,0.0
9.5,24.121,22.949,10.0,0.0,0.0
9.6,24.17,22.998,10.0,0.0,0.0
9.7,24.219,22.998,10.0,0.0,0.0
9.8,24.268,22.949,10.0,0.0,0.0
9.9,24.316,22.949,10.0,0.0,0.0
10.0,24.365,22.949,10.0,0.0,0.0
10.1,24.414,22.998,10.0,0.0,0.0
10.2,24.463,22.998,10.0,0.0,0.0
10.3,24.561,22.998,10.0,0.0,0.0
10.4,24.609,22.998,10.0,0.0,0.0
10.5,24.609,22.949,10.0,0.0,0.0
10.6,24.658,22.949,10.0,0.0,0.0
10.7,24.756,22.998,10.0,0.0,0.0
10.8,24.805,22.998,10.0,0.0,0.0
10.9,24.854,22.998,10.0,0.0,0.0
11.0,24.902,22.998,10.0,0.0,0.0
11.1,24.951,22.998,10.0,0.0,0.0
11.2,25.0,22.998,10.0,0.0,0.0
11.3,25.098,22.998,10.0,0.0,0.0
11.4,25.146,23.047,10.0,0.0,0.0
11.5,25.195,22.998,10.0,0.0,0.0
11.6,25.244,22.998,10.0,0.0,0.0
11.7,25.293,22.998,10.0,0.0,0.0
11.8,25.342,22.998,10.0,0.0,0.0
11.9,25.439,22.998,10.0,0.0,0.0
12.0,25.488,23.047,10.0,0.0,0.0
12.1,25.537,23.047,10.0,0.0,0.0
12.2,25.635,23.047,10.0,0.0,0.0
12.3,25.684,23.047,10.0,0.0,0.0
12.4,25.684,22.998,10.0,0.0,0.0
12.5,25.781,23.047,10.0,0.0,0.0
12.6,25.83,23.047,10.0,0.0,0.0
12.7,25.928,23.096,10.0,0.0,0.0
12.8,25.977,23.096,10.0,0.0,0.0
12.9,26.025,23.047,10.0,0.0,0.0
13.0,26.123,23.096,10.0,0.0,0.0
13.1,26.172,23.047,10.0,0.0,0.0
13.2,26.221,23.096,10.0,0.0,0.0
13.3,26.27,23.096,10.0,0.0,0.0
13.4,26.367,23.096,10.0,0.0,0.0
13.5,26.416,23.096,10.0,0.0,0.0
13.6,26.465,23.096,10.0,0.0,0.0
13.7,26.562,23.096,10.0,0.0,0.0
13.8,26.611,23.145,10.0,0.0,0.0
13.9,26.66,23.145,10.0,0.0,0.0
14.0,26.758,23.096,10.0,0.0,0.0
14.1,26.807,23.096,10.0,0.0,0.0
14.2,26.904,23.193,10.0,0.0,0.0
14.3,26.953,23.145,10.0,0.0,0.0
14.4,27.002,23.193,10.0,0.0,0.0
