Time (s),T1 (°C),T2 (°C),Heater Input (V),Fan Input (V),Vane Input (V)
0.0,18.213,30.957,0.0,0.0,0.0
0.0,18.213,30.957,0.0,0.0,0.0
0.0,18.213,30.957,0.0,0.0,0.0
0.001,18.213,30.957,0.0,0.0,0.0
0.001,18.213,30.957,0.0,0.0,0.0
0.001,18.213,30.957,0.0,0.0,0.0
0.001,18.213,30.957,0.0,0.0,0.0
0.001,18.213,30.957,0.0,0.0,0.0
0.002,18.213,30.957,0.0,0.0,0.0
0.002,18.213,30.957,0.0,0.0,0.0
0.002,18.213,30.957,0.0,0.0,0.0
0.002,18.213,30.957,0.0,0.0,0.0
0.002,18.213,30.957,0.0,0.0,0.0
0.003,18.213,30.957,0.0,0.0,0.0
0.003,28.564,25.146,0.0,0.0,0.0
0.003,28.564,25.146,0.0,0.0,0.0
0.003,15.674,22.656,0.0,0.0,0.0
0.003,15.674,22.656,0.0,0.0,0.0
0.004,15.674,22.656,0.0,0.0,0.0
0.004,15.674,22.656,0.0,0.0,0.0
0.004,15.674,22.656,0.0,0.0,0.0
0.004,34.57,18.75,0.0,0.0,0.0
0.004,34.57,18.75,0.0,0.0,0.0
0.005,34.57,18.75,0.0,0.0,0.0
0.005,34.57,18.75,0.0,0.0,0.0
0.005,34.57,18.75,0.0,0.0,0.0
0.005,34.57,18.75,0.0,0.0,0.0
0.005,34.57,18.75,0.0,0.0,0.0
0.006,34.57,18.75,0.0,0.0,0.0
0.006,34.57,18.75,0.0,0.0,0.0
0.006,34.57,18.75,0.0,0.0,0.0
0.006,34.57,18.75,0.0,0.0,0.0
0.006,34.57,18.75,0.0,0.0,0.0
0.007,34.57,18.75,0.0,0.0,0.0
0.007,34.57,18.75,0.0,0.0,0.0
0.007,34.57,18.75,0.0,0.0,0.0
0.007,27.734,25.684,0.0,0.0,0.0
0.007,27.734,25.684,0.0,0.0,0.0
0.008,27.734,25.684,0.0,0.0,0.0
0.008,27.734,25.684,0.0,0.0,0.0
0.008,27.734,25.684,0.0,0.0,0.0
0.008,27.734,25.684,0.0,0.0,0.0
0.008,27.734,25.684,0.0,0.0,0.0
0.009,27.734,25.684,0.0,0.0,0.0
0.009,12.988,33.154,0.0,0.0,0.0
0.009,12.988,33.154,0.0,0.0,0.0
0.009,12.988,33.154,0.0,0.0,0.0
0.009,12.988,33.154,0.0,0.0,0.0
0.01,12.988,33.154,0.0,0.0,0.0
0.01,12.988,35.254,0.0,0.0,0.0
0.01,12.988,35.254,0.0,0.0,0.0
0.01,12.988,35.254,0.0,0.0,0.0
0.01,12.988,35.254,0.0,0.0,0.0
0.011,12.988,35.254,0.0,0.0,0.0
0.011,12.988,35.254,0.0,0.0,0.0
0.011,12.988,35.254,0.0,0.0,0.0
0.011,12.988,35.254,0.0,0.0,0.0
0.011,12.988,35.254,0.0,0.0,0.0
0.012,12.988,35.254,0.0,0.0,0.0
0.012,12.988,35.254,0.0,0.0,0.0
0.012,12.988,35.254,0.0,0.0,0.0
0.012,12.988,35.254,0.0,0.0,0.0
0.012,12.988,35.254,0.0,0.0,0.0
0.013,16.699,32.031,0.0,0.0,0.0
0.013,16.699,32.031,0.0,0.0,0.0
0.013,16.699,32.031,0.0,0.0,0.0
0.013,34.424,19.531,0.0,0.0,0.0
0.013,34.424,19.531,0.0,0.0,0.0
0.014,34.424,19.531,0.0,0.0,0.0
0.014,34.473,17.676,0.0,0.0,0.0
0.014,34.473,17.676,0.0,0.0,0.0
0.014,34.473,17.676,0.0,0.0,0.0
0.014,34.473,17.676,0.0,0.0,0.0
0.015,34.473,17.676,0.0,0.0,0.0
0.015,34.473,17.676,0.0,0.0,0.0
0.015,34.473,17.676,0.0,0.0,0.0
0.015,34.473,17.676,0.0,0.0,0.0
0.015,34.473,17.676,0.0,0.0,0.0
0.016,34.473,17.676,0.0,0.0,0.0
0.016,31.494,14.258,0.0,0.0,0.0
0.016,31.494,14.258,0.0,0.0,0.0
0.016,31.494,14.258,0.0,0.0,0.0
0.016,31.494,14.258,0.0,0.0,0.0
0.017,31.494,14.258,0.0,0.0,0.0
0.017,31.494,14.258,0.0,0.0,0.0
0.017,31.494,14.258,0.0,0.0,0.0
0.017,31.494,14.258,0.0,0.0,0.0
0.017,31.494,14.258,0.0,0.0,0.0
0.018,31.494,14.258,0.0,0.0,0.0
