Time (s),T1 (°C),T2 (°C),Heater Input (V),Fan Input (V),Vane Input (V)
0.0,24.414,25.293,0.0,0.0,0.0
0.1,24.414,25.293,0.0,0.0,0.0
0.2,24.414,25.293,0.0,0.0,0.0
0.3,24.414,25.293,0.0,0.0,0.0
0.4,24.414,25.293,0.0,0.0,0.0
0.5,24.414,25.293,0.0,0.0,0.0
0.6,24.414,25.293,0.0,0.0,0.0
0.7,24.463,25.293,0.0,0.0,0.0
0.8,24.414,25.293,0.0,0.0,0.0
0.9,24.463,25.293,0.0,0.0,0.0
1.0,24.463,25.293,0.0,0.0,0.0
1.1,24.414,25.293,0.0,0.0,0.0
1.2,24.463,25.293,0.0,0.0,0.0
1.3,24.463,25.293,0.0,0.0,0.0
1.4,24.414,25.244,0.0,0.0,0.0
1.5,24.463,25.293,0.0,0.0,0.0
1.6,24.463,25.293,0.0,0.0,0.0
1.7,24.463,25.293,0.0,0.0,0.0
1.8,24.463,25.244,0.0,0.0,0.0
1.9,24.463,25.293,0.0,0.0,0.0
2.0,24.463,25.293,0.0,0.0,0.0
2.1,24.463,25.293,0.0,0.0,0.0
2.2,24.463,25.293,0.0,0.0,0.0
2.3,24.463,25.293,0.0,0.0,0.0
2.4,24.463,25.293,0.0,0.0,0.0
2.5,24.512,25.293,0.0,0.0,0.0
2.6,24.512,25.293,0.0,0.0,0.0
2.7,24.512,25.293,0.0,0.0,0.0
2.8,24.512,25.293,0.0,0.0,0.0
2.9,24.512,25.293,0.0,0.0,0.0
3.0,24.463,25.293,0.0,0.0,0.0
3.1,24.512,25.244,0.0,0.0,0.0
3.2,24.512,25.293,0.0,0.0,0.0
3.3,24.512,25.244,0.0,0.0,0.0
3.4,24.512,25.244,0.0,0.0,0.0
3.5,24.512,25.293,0.0,0.0,0.0
3.6,24.512,25.244,0.0,0.0,0.0
3.7,24.512,25.293,0.0,0.0,0.0
3.8,24.512,25.293,0.0,0.0,0.0
3.9,24.512,25.293,0.0,0.0,0.0
4.0,24.512,25.244,0.0,0.0,0.0
4.1,24.512,25.244,0.0,0.0,0.0
4.2,24.512,25.293,0.0,0.0,0.0
4.3,24.512,25.293,0.0,0.0,0.0
4.4,24.512,25.244,0.0,0.0,0.0
4.5,24.463,25.244,0.0,0.0,0.0
4.6,24.512,25.244,0.0,0.0,0.0
4.7,24.512,25.244,0.0,0.0,0.0
4.8,24.512,25.244,0.0,0.0,0.0
4.9,24.512,25.244,0.0,0.0,0.0
5.0,24.512,25.293,1.5,0.0,0.0
5.1,24.512,25.244,1.5,0.0,0.0
5.2,24.512,25.244,1.5,0.0,0.0
5.3,24.512,25.244,1.5,0.0,0.0
5.4,24.512,25.244,1.5,0.0,0.0
5.5,24.561,25.244,1.5,0.0,0.0
5.6,24.561,25.244,1.5,0.0,0.0
5.7,24.561,25.293,1.5,0.0,0.0
5.8,24.561,25.293,1.5,0.0,0.0
5.9,24.512,25.244,1.5,0.0,0.0
6.0,24.561,25.293,1.5,0.0,0.0
6.1,24.561,25.244,1.5,0.0,0.0
6.2,24.561,25.293,1.5,0.0,0.0
6.3,24.512,25.244,1.5,0.0,0.0
6.4,24.512,25.244,1.5,0.0,0.0
6.5,24.561,25.293,1.5,0.0,0.0
6.6,24.561,25.293,1.5,0.0,0.0
6.7,24.561,25.244,1.5,0.0,0.0
6.8,24.561,25.244,1.5,0.0,0.0
6.9,24.561,25.244,1.5,0.0,0.0
7.0,24.561,25.244,1.5,0.0,0.0
7.1,24.561,25.244,1.5,0.0,0.0
7.2,24.561,25.244,1.5,0.0,0.0
7.3,24.561,25.244,1.5,0.0,0.0
7.4,24.561,25.244,1.5,0.0,0.0
7.5,24.561,25.244,1.5,0.0,0.0
7.6,24.561,25.244,1.5,0.0,0.0
7.7,24.561,25.244,1.5,0.0,0.0
7.8,24.561,25.244,1.5,0.0,0.0
7.9,24.561,25.244,1.5,0.0,0.0
8.0,24.561,25.244,1.5,0.0,0.0
8.1,24.561,25.244,1.5,0.0,0.0
8.2,24.561,25.244,1.5,0.0,0.0
8.3,24.561,25.244,1.5,0.0,0.0
8.4,24.609,25.244,1.5,0.0,0.0
8.5,24.561,25.244,1.5,0.0,0.0
8.6,24.561,25.244,1.5,0.0,0.0
8.7,24.561,25.244,1.5,0.0,0.0
8.8,24.561,25.244,1.5,0.0,0.0
8.9,24.561,25.244,1.5,0.0,0.0
9.0,24.609,25.244,1.5,0.0,0.0
9.1,24.609,25.244,1.5,0.0,0.0
9.2,24.561,25.244,1.5,0.0,0.0
9.3,24.561,25.244,1.5,0.0,0.0
9.4,24.609,25.244,1.5,0.0,0.0
9.5,24.561,25.244,1.5,0.0,0.0
9.6,24.561,25.244,1.5,0.0,0.0
9.7,24.609,25.244,1.5,0.0,0.0
9.8,24.609,25.244,1.5,0.0,0.0
9.9,24.609,25.244,1.5,0.0,0.0
10.0,24.609,25.293,1.5,0.0,0.0
10.1,24.658,25.293,1.5,0.0,0.0
10.2,24.609,25.244,1.5,0.0,0.0
10.3,24.658,25.244,1.5,0.0,0.0
10.4,24.658,25.244,1.5,0.0,0.0
10.5,24.609,25.244,1.5,0.0,0.0
10.6,24.658,25.293,1.5,0.0,0.0
10.7,24.658,25.244,1.5,0.0,0.0
10.8,24.707,25.293,1.5,0.0,0.0
10.9,24.658,25.244,1.5,0.0,0.0
11.0,24.658,25.244,1.5,0.0,0.0
11.1,24.658,25.293,1.5,0.0,0.0
11.2,24.658,25.293,1.5,0.0,0.0
11.3,24.658,25.244,1.5,0.0,0.0
11.4,24.658,25.244,1.5,0.0,0.0
11.5,24.658,25.244,1.5,0.0,0.0
11.6,24.658,25.244,1.5,0.0,0.0
11.7,24.658,25.244,1.5,0.0,0.0
11.8,24.707,25.244,1.5,0.0,0.0
11.9,24.707,25.244,1.5,0.0,0.0
12.0,24.707,25.244,1.5,0.0,0.0
12.1,24.707,25.244,1.5,0.0,0.0
12.2,24.707,25.244,1.5,0.0,0.0
12.3,24.707,25.244,1.5,0.0,0.0
12.4,24.707,25.244,1.5,0.0,0.0
12.5,24.707,25.244,1.5,0.0,0.0
12.6,24.756,25.293,1.5,0.0,0.0
12.7,24.707,25.244,1.5,0.0,0.0
12.8,24.707,25.244,1.5,0.0,0.0
12.9,24.707,25.244,1.5,0.0,0.0
13.0,24.756,25.244,1.5,0.0,0.0
13.1,24.756,25.244,1.5,0.0,0.0
13.2,24.756,25.244,1.5,0.0,0.0
13.3,24.756,25.244,1.5,0.0,0.0
13.4,24.756,25.244,1.5,0.0,0.0
13.5,24.756,25.244,1.5,0.0,0.0
13.6,24.756,25.244,1.5,0.0,0.0
13.7,24.756,25.244,1.5,0.0,0.0
13.8,24.756,25.244,1.5,0.0,0.0
13.9,24.756,25.244,1.5,0.0,0.0
14.0,24.756,25.244,1.5,0.0,0.0
14.1,24.805,25.244,1.5,0.0,0.0
14.2,24.805,25.244,1.5,0.0,0.0
14.3,24.805,25.244,1.5,0.0,0.0
14.4,24.805,25.244,1.5,0.0,0.0
14.5,24.805,25.244,1.5,0.0,0.0
14.6,24.805,25.244,1.5,0.0,0.0
14.7,24.805,25.244,1.5,0.0,0.0
14.8,24.854,25.244,1.5,0.0,0.0
14.9,24.854,25.244,1.5,0.0,0.0
15.0,24.854,25.244,1.5,0.0,0.0
15.1,24.854,25.244,1.5,0.0,0.0
15.2,24.854,25.244,1.5,0.0,0.0
15.3,24.854,25.244,1.5,0.0,0.0
15.4,24.854,25.244,1.5,0.0,0.0
15.5,24.854,25.244,1.5,0.0,0.0
15.6,24.854,25.244,1.5,0.0,0.0
15.7,24.902,25.244,1.5,0.0,0.0
15.8,24.854,25.195,1.5,0.0,0.0
15.9,24.902,25.195,1.5,0.0,0.0
16.0,24.902,25.244,1.5,0.0,0.0
16.1,24.902,25.244,1.5,0.0,0.0
16.2,24.902,25.244,1.5,0.0,0.0
16.3,24.951,25.244,1.5,0.0,0.0
16.4,24.951,25.244,1.5,0.0,0.0
16.5,24.951,25.244,1.5,0.0,0.0
16.6,24.951,25.244,1.5,0.0,0.0
16.7,24.951,25.244,1.5,0.0,0.0
16.8,24.951,25.244,1.5,0.0,0.0
16.9,25.0,25.244,1.5,0.0,0.0
17.0,24.951,25.195,1.5,0.0,0.0
17.1,24.951,25.244,1.5,0.0,0.0
17.2,24.951,25.244,1.5,0.0,0.0
17.3,25.0,25.244,1.5,0.0,0.0
17.4,25.0,25.244,1.5,0.0,0.0
17.5,25.049,25.244,1.5,0.0,0.0
17.6,25.0,25.244,1.5,0.0,0.0
17.7,25.0,25.244,1.5,0.0,0.0
17.8,25.0,25.244,1.5,0.0,0.0
17.9,25.0,25.244,1.5,0.0,0.0
18.0,25.049,25.244,1.5,0.0,0.0
18.1,25.049,25.244,1.5,0.0,0.0
18.2,25.049,25.244,1.5,0.0,0.0
18.3,25.049,25.244,1.5,0.0,0.0
18.4,25.098,25.293,1.5,0.0,0.0
18.5,25.098,25.244,1.5,0.0,0.0
18.6,25.098,25.244,1.5,0.0,0.0
18.7,25.098,25.244,1.5,0.0,0.0
18.8,25.098,25.244,1.5,0.0,0.0
18.9,25.098,25.293,1.5,0.0,0.0
19.0,25.098,25.195,1.5,0.0,0.0
19.1,25.146,25.244,1.5,0.0,0.0
19.2,25.146,25.244,1.5,0.0,0.0
19.3,25.146,25.244,1.5,0.0,0.0
19.4,25.146,25.244,1.5,0.0,0.0
19.5,25.146,25.244,1.5,0.0,0.0
19.6,25.146,25.244,1.5,0.0,0.0
19.7,25.146,25.244,1.5,0.0,0.0
19.8,25.195,25.244,1.5,0.0,0.0
19.9,25.195,25.293,1.5,0.0,0.0
20.0,25.195,25.244,1.5,0.0,0.0
20.1,25.195,25.244,1.5,0.0,0.0
20.2,25.195,25.244,1.5,0.0,0.0
20.3,25.195,25.244,1.5,0.0,0.0
20.4,25.244,25.244,1.5,0.0,0.0
20.5,25.244,25.293,1.5,0.0,0.0
20.6,25.244,25.244,1.5,0.0,0.0
20.7,25.244,25.244,1.5,0.0,0.0
20.8,25.293,25.293,1.5,0.0,0.0
20.9,25.244,25.244,1.5,0.0,0.0
21.0,25.293,25.293,1.5,0.0,0.0
21.1,25.293,25.293,1.5,0.0,0.0
21.2,25.293,25.244,1.5,0.0,0.0
21.3,25.293,25.244,1.5,0.0,0.0
21.4,25.342,25.293,1.5,0.0,0.0
21.5,25.293,25.244,1.5,0.0,0.0
21.6,25.293,25.244,1.5,0.0,0.0
21.7,25.342,25.244,1.5,0.0,0.0
21.8,25.293,25.244,1.5,0.0,0.0
21.9,25.342,25.293,1.5,0.0,0.0
22.0,25.391,25.293,1.5,0.0,0.0
22.1,25.342,25.244,1.5,0.0,0.0
22.2,25.391,25.293,1.5,0.0,0.0
22.3,25.342,25.244,1.5,0.0,0.0
22.4,25.342,25.244,1.5,0.0,0.0
22.5,25.391,25.293,1.5,0.0,0.0
22.6,25.391,25.293,1.5,0.0,0.0
22.7,25.391,25.293,1.5,0.0,0.0
22.8,25.439,25.293,1.5,0.0,0.0
22.9,25.391,25.244,1.5,0.0,0.0
23.0,25.439,25.293,1.5,0.0,0.0
23.1,25.439,25.293,1.5,0.0,0.0
23.2,25.439,25.293,1.5,0.0,0.0
23.3,25.439,25.293,1.5,0.0,0.0
23.4,25.439,25.293,1.5,0.0,0.0
23.5,25.488,25.293,1.5,0.0,0.0
23.6,25.488,25.293,1.5,0.0,0.0
23.7,25.488,25.293,1.5,0.0,0.0
23.8,25.488,25.293,1.5,0.0,0.0
23.9,25.537,25.293,1.5,0.0,0.0
24.0,25.488,25.293,1.5,0.0,0.0
24.1,25.537,25.293,1.5,0.0,0.0
24.2,25.537,25.293,1.5,0.0,0.0
24.3,25.537,25.293,1.5,0.0,0.0
24.4,25.537,25.293,1.5,0.0,0.0
24.5,25.586,25.293,1.5,0.0,0.0
24.6,25.537,25.293,1.5,0.0,0.0
24.7,25.586,25.342,1.5,0.0,0.0
24.8,25.586,25.342,1.5,0.0,0.0
24.9,25.635,25.342,1.5,0.0,0.0
25.0,25.586,25.293,1.5,0.0,0.0
25.1,25.586,25.293,1.5,0.0,0.0
25.2,25.635,25.342,1.5,0.0,0.0
25.3,25.635,25.293,1.5,0.0,0.0
25.4,25.635,25.293,1.5,0.0,0.0
25.5,25.635,25.342,1.5,0.0,0.0
25.6,25.635,25.293,1.5,0.0,0.0
25.7,25.635,25.342,1.5,0.0,0.0
25.8,25.635,25.342,1.5,0.0,0.0
25.9,25.684,25.342,1.5,0.0,0.0
26.0,25.684,25.342,1.5,0.0,0.0
26.1,25.684,25.342,1.5,0.0,0.0
26.2,25.732,25.342,1.5,0.0,0.0
26.3,25.732,25.342,1.5,0.0,0.0
26.4,25.732,25.342,1.5,0.0,0.0
26.5,25.732,25.342,1.5,0.0,0.0
26.6,25.732,25.342,1.5,0.0,0.0
26.7,25.732,25.342,1.5,0.0,0.0
26.8,25.732,25.342,1.5,0.0,0.0
26.9,25.781,25.391,1.5,0.0,0.0
27.0,25.781,25.342,1.5,0.0,0.0
27.1,25.781,25.342,1.5,0.0,0.0
27.2,25.781,25.342,1.5,0.0,0.0
27.3,25.781,25.342,1.5,0.0,0.0
27.4,25.781,25.342,1.5,0.0,0.0
27.5,25.781,25.342,1.5,0.0,0.0
27.6,25.83,25.342,1.5,0.0,0.0
27.7,25.83,25.342,1.5,0.0,0.0
27.8,25.83,25.391,1.5,0.0,0.0
27.9,25.83,25.391,1.5,0.0,0.0
28.0,25.879,25.391,1.5,0.0,0.0
28.1,25.879,25.391,1.5,0.0,0.0
28.2,25.928,25.439,1.5,0.0,0.0
28.3,25.928,25.391,1.5,0.0,0.0
28.4,25.928,25.439,1.5,0.0,0.0
28.5,25.928,25.391,1.5,0.0,0.0
28.6,25.928,25.391,1.5,0.0,0.0
28.7,25.928,25.391,1.5,0.0,0.0
28.8,25.977,25.391,1.5,0.0,0.0
28.9,25.977,25.391,1.5,0.0,0.0
29.0,25.977,25.391,1.5,0.0,0.0
29.1,25.977,25.391,1.5,0.0,0.0
29.2,25.977,25.391,1.5,0.0,0.0
29.3,25.977,25.439,1.5,0.0,0.0
29.4,25.977,25.391,1.5,0.0,0.0
29.5,26.025,25.439,1.5,0.0,0.0
29.6,26.025,25.391,1.5,0.0,0.0
29.7,26.025,25.391,1.5,0.0,0.0
29.8,26.025,25.439,1.5,0.0,0.0
29.9,26.025,25.439,1.5,0.0,0.0
30.0,26.025,25.439,1.5,0.0,0.0
30.1,26.025,25.439,1.5,0.0,0.0
30.2,26.074,25.439,1.5,0.0,0.0
30.3,26.025,25.391,1.5,0.0,0.0
30.4,26.074,25.439,1.5,0.0,0.0
30.5,26.074,25.439,1.5,0.0,0.0
30.6,26.074,25.439,1.5,0.0,0.0
30.7,26.123,25.439,1.5,0.0,0.0
30.8,26.123,25.439,1.5,0.0,0.0
30.9,26.074,25.439,1.5,0.0,0.0
31.0,26.123,25.439,1.5,0.0,0.0
31.1,26.123,25.439,1.5,0.0,0.0
31.2,26.123,25.439,1.5,0.0,0.0
31.3,26.172,25.439,1.5,0.0,0.0
31.4,26.172,25.439,1.5,0.0,0.0
31.5,26.172,25.439,1.5,0.0,0.0
31.6,26.172,25.439,1.5,0.0,0.0
31.7,26.172,25.439,1.5,0.0,0.0
31.8,26.172,25.488,1.5,0.0,0.0
31.9,26.172,25.488,1.5,0.0,0.0
32.0,26.221,25.439,1.5,0.0,0.0
32.1,26.221,25.488,1.5,0.0,0.0
32.2,26.221,25.439,1.5,0.0,0.0
